<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.16	09:07:00	130280	130290	130240	130270	7570	23204	5
2024.07.16	09:08:00	130270	130280	130245	130265	4741	12471	5
2024.07.16	09:09:00	130260	130335	130255	130330	11589	36979	5
2024.07.16	09:10:00	130325	130350	130290	130315	11330	41652	5
2024.07.16	09:11:00	130315	130375	130290	130365	11802	42548	5
2024.07.16	09:12:00	130365	130415	130335	130395	15553	59025	5
2024.07.16	09:13:00	130400	130460	130385	130435	13788	50017	5
2024.07.16	09:14:00	130440	130460	130405	130435	10029	35860	5
2024.07.16	09:15:00	130435	130470	130425	130460	8364	30442	5
2024.07.16	09:16:00	130465	130475	130430	130460	6059	23700	5
2024.07.16	09:17:00	130460	130470	130435	130450	5105	23120	5
2024.07.16	09:18:00	130455	130480	130435	130440	8378	31816	5
2024.07.16	09:19:00	130440	130500	130440	130490	7231	24909	5
2024.07.16	09:20:00	130495	130535	130490	130500	14082	47610	5
2024.07.16	09:21:00	130500	130530	130495	130500	6392	20442	5
2024.07.16	09:22:00	130500	130510	130455	130505	13397	42142	5
2024.07.16	09:23:00	130510	130520	130460	130465	6418	21631	5
2024.07.16	09:24:00	130470	130470	130430	130465	11215	38306	5
2024.07.16	09:25:00	130460	130470	130445	130455	3936	11437	5
2024.07.16	09:26:00	130455	130470	130445	130455	2651	8285	5
2024.07.16	09:27:00	130460	130480	130410	130440	10234	31684	5
2024.07.16	09:28:00	130440	130450	130410	130435	4951	17689	5
2024.07.16	09:29:00	130440	130475	130410	130440	5309	21150	5
2024.07.16	09:30:00	130440	130515	130305	130485	31387	113923	5
2024.07.16	09:31:00	130485	130565	130475	130535	17651	60595	5
2024.07.16	09:32:00	130530	130535	130460	130475	12393	44639	5
2024.07.16	09:33:00	130480	130485	130410	130410	11626	36603	5
2024.07.16	09:34:00	130410	130435	130390	130420	12268	38696	5
2024.07.16	09:35:00	130425	130485	130415	130475	12688	40351	5
2024.07.16	09:36:00	130470	130480	130430	130445	7475	23663	5
2024.07.16	09:37:00	130445	130455	130400	130415	9206	32344	5
2024.07.16	09:38:00	130410	130415	130345	130390	17974	60646	5
2024.07.16	09:39:00	130390	130405	130340	130355	10945	35804	5
2024.07.16	09:40:00	130350	130370	130315	130360	13293	40047	5
2024.07.16	09:41:00	130360	130390	130330	130385	8876	27307	5
2024.07.16	09:42:00	130385	130445	130380	130440	17519	57713	5
2024.07.16	09:43:00	130440	130450	130395	130405	8449	25226	5
2024.07.16	09:44:00	130410	130425	130355	130355	12014	41185	5
2024.07.16	09:45:00	130355	130405	130320	130375	14620	47499	5
2024.07.16	09:46:00	130380	130400	130355	130355	5438	17390	5
2024.07.16	09:47:00	130355	130375	130325	130370	8102	27180	5
2024.07.16	09:48:00	130375	130380	130330	130330	4796	14344	5
2024.07.16	09:49:00	130335	130335	130285	130290	17572	56127	5
2024.07.16	09:50:00	130290	130295	130230	130240	18457	62890	5
2024.07.16	09:51:00	130240	130270	130230	130260	10500	37233	5
2024.07.16	09:52:00	130260	130295	130250	130275	8535	27559	5
2024.07.16	09:53:00	130280	130285	130220	130220	8451	27259	5
2024.07.16	09:54:00	130220	130230	130180	130185	17683	63087	5
2024.07.16	09:55:00	130180	130210	130165	130190	10440	36198	5
2024.07.16	09:56:00	130190	130215	130170	130205	5886	18880	5
2024.07.16	09:57:00	130210	130215	130185	130190	4648	14394	5
2024.07.16	09:58:00	130190	130210	130165	130195	4940	15081	5
2024.07.16	09:59:00	130200	130205	130165	130195	5537	18839	5
2024.07.16	10:00:00	130195	130205	130140	130180	14916	52990	5
2024.07.16	10:01:00	130180	130250	130155	130235	23106	79273	5
2024.07.16	10:02:00	130230	130265	130215	130235	13259	42428	5
2024.07.16	10:03:00	130235	130335	130230	130305	20670	72031	5
2024.07.16	10:04:00	130310	130400	130305	130390	21735	80091	5
2024.07.16	10:05:00	130390	130555	130390	130530	39740	149932	5
2024.07.16	10:06:00	130525	130535	130425	130435	25765	94099	5
2024.07.16	10:07:00	130440	130500	130415	130465	12986	45835	5
2024.07.16	10:08:00	130465	130565	130450	130450	24436	88009	5
2024.07.16	10:09:00	130450	130465	130410	130420	15322	51204	5
2024.07.16	10:10:00	130415	130420	130340	130345	26130	93854	5
2024.07.16	10:11:00	130345	130400	130330	130335	13381	48409	5
2024.07.16	10:12:00	130335	130390	130330	130370	8312	30362	5
2024.07.16	10:13:00	130370	130400	130350	130385	8344	28822	5
2024.07.16	10:14:00	130380	130420	130320	130340	16029	55147	5
2024.07.16	10:15:00	130340	130395	130335	130365	8519	30380	5
2024.07.16	10:16:00	130365	130420	130340	130405	10168	36014	5
2024.07.16	10:17:00	130405	130470	130390	130465	15925	54246	5
2024.07.16	10:18:00	130465	130480	130425	130445	12824	47789	5
2024.07.16	10:19:00	130440	130515	130410	130475	16522	65053	5
2024.07.16	10:20:00	130475	130560	130470	130525	20825	80531	5
2024.07.16	10:21:00	130520	130535	130420	130445	21192	79868	5
2024.07.16	10:22:00	130445	130510	130425	130455	12112	46276	5
2024.07.16	10:23:00	130455	130480	130410	130425	10027	34159	5
2024.07.16	10:24:00	130430	130445	130390	130430	11128	38807	5
2024.07.16	10:25:00	130425	130445	130365	130405	16890	76316	5
2024.07.16	10:26:00	130405	130460	130385	130450	11009	53242	5
2024.07.16	10:27:00	130445	130450	130385	130395	6737	26029	5
2024.07.16	10:28:00	130400	130430	130390	130400	5872	23307	5
2024.07.16	10:29:00	130395	130455	130390	130410	7662	33722	5
2024.07.16	10:30:00	130410	130470	130380	130465	13234	48821	5
2024.07.16	10:31:00	130465	130485	130430	130445	12845	45678	5
2024.07.16	10:32:00	130445	130445	130360	130410	19781	71792	5
2024.07.16	10:33:00	130415	130435	130355	130390	10903	38392	5
2024.07.16	10:34:00	130385	130390	130265	130270	25710	92691	5
2024.07.16	10:35:00	130265	130280	130140	130160	32893	129626	5
2024.07.16	10:36:00	130155	130185	130115	130140	20244	78087	5
2024.07.16	10:37:00	130135	130235	130125	130230	20291	71997	5
2024.07.16	10:38:00	130230	130285	130215	130275	17970	61402	5
2024.07.16	10:39:00	130270	130300	130230	130275	14159	48151	5
2024.07.16	10:40:00	130270	130315	130250	130270	15834	58210	5
2024.07.16	10:41:00	130270	130330	130250	130300	12604	45117	5
2024.07.16	10:42:00	130305	130330	130265	130305	9185	30681	5
2024.07.16	10:43:00	130305	130335	130285	130330	8011	28730	5
2024.07.16	10:44:00	130330	130350	130295	130295	9136	33207	5
2024.07.16	10:45:00	130300	130355	130285	130355	10421	38753	5
2024.07.16	10:46:00	130350	130490	130350	130485	31312	117140	5
2024.07.16	10:47:00	130485	130550	130475	130490	21626	81580	5
2024.07.16	10:48:00	130490	130515	130410	130445	21326	79466	5
2024.07.16	10:49:00	130445	130450	130370	130370	13608	49890	5
2024.07.16	10:50:00	130375	130395	130305	130340	22407	82851	5
2024.07.16	10:51:00	130340	130380	130325	130350	7513	26884	5
2024.07.16	10:52:00	130350	130375	130330	130365	5726	18296	5
2024.07.16	10:53:00	130365	130365	130275	130325	13940	51685	5
2024.07.16	10:54:00	130325	130340	130290	130320	6068	20380	5
2024.07.16	10:55:00	130315	130355	130310	130330	6289	22630	5
2024.07.16	10:56:00	130325	130330	130240	130255	14947	56914	5
2024.07.16	10:57:00	130255	130285	130220	130245	10950	45561	5
2024.07.16	10:58:00	130250	130265	130215	130255	7613	30965	5
2024.07.16	10:59:00	130250	130270	130230	130260	4135	15374	5
2024.07.16	11:00:00	130255	130300	130220	130265	12990	51524	5
2024.07.16	11:01:00	130270	130300	130210	130235	11239	43194	5
2024.07.16	11:02:00	130235	130250	130190	130250	11753	43285	5
2024.07.16	11:03:00	130245	130255	130180	130190	8731	31964	5
2024.07.16	11:04:00	130195	130205	130150	130165	12143	47202	5
2024.07.16	11:05:00	130170	130210	130130	130175	16831	68368	5
2024.07.16	11:06:00	130180	130260	130165	130255	14953	54915	5
2024.07.16	11:07:00	130255	130280	130240	130260	13444	50548	5
2024.07.16	11:08:00	130260	130270	130190	130215	13116	48097	5
2024.07.16	11:09:00	130215	130220	130140	130140	14337	53401	5
2024.07.16	11:10:00	130140	130195	130135	130155	11310	43498	5
2024.07.16	11:11:00	130155	130175	130120	130120	12162	46482	5
2024.07.16	11:12:00	130120	130140	130085	130105	18008	69195	5
2024.07.16	11:13:00	130100	130140	130055	130080	17387	69393	5
2024.07.16	11:14:00	130075	130140	130065	130130	12766	49689	5
2024.07.16	11:15:00	130130	130180	130110	130175	14914	50370	5
2024.07.16	11:16:00	130175	130240	130165	130190	20465	73024	5
2024.07.16	11:17:00	130190	130195	130140	130170	8752	32513	5
2024.07.16	11:18:00	130165	130180	130125	130130	7369	24550	5
2024.07.16	11:19:00	130125	130145	130090	130140	13957	52645	5
2024.07.16	11:20:00	130145	130250	130140	130220	20933	74904	5
2024.07.16	11:21:00	130225	130245	130185	130215	9472	34076	5
2024.07.16	11:22:00	130210	130230	130190	130205	4370	17057	5
2024.07.16	11:23:00	130205	130210	130165	130165	6363	24579	5
2024.07.16	11:24:00	130170	130200	130160	130175	4425	15716	5
2024.07.16	11:25:00	130170	130205	130135	130190	12966	47832	5
2024.07.16	11:26:00	130185	130205	130100	130120	16567	67225	5
2024.07.16	11:27:00	130120	130190	130105	130180	9860	35120	5
2024.07.16	11:28:00	130185	130230	130170	130225	10415	34775	5
2024.07.16	11:29:00	130225	130230	130175	130200	6867	24208	5
2024.07.16	11:30:00	130205	130250	130150	130250	13917	54853	5
2024.07.16	11:31:00	130245	130255	130220	130225	7325	25304	5
2024.07.16	11:32:00	130220	130290	130205	130265	13925	51302	5
2024.07.16	11:33:00	130265	130270	130210	130210	7461	30737	5
2024.07.16	11:34:00	130210	130230	130180	130185	8598	30378	5
2024.07.16	11:35:00	130190	130220	130160	130170	9923	34056	5
2024.07.16	11:36:00	130170	130260	130150	130255	11198	42227	5
2024.07.16	11:37:00	130255	130335	130255	130335	17430	70129	5
2024.07.16	11:38:00	130335	130345	130245	130245	14660	53858	5
2024.07.16	11:39:00	130250	130285	130230	130270	9107	33296	5
2024.07.16	11:40:00	130270	130315	130250	130260	10699	38864	5
2024.07.16	11:41:00	130260	130275	130225	130265	7032	24583	5
2024.07.16	11:42:00	130265	130315	130240	130300	7535	31500	5
2024.07.16	11:43:00	130305	130320	130270	130270	5911	20150	5
2024.07.16	11:44:00	130270	130295	130255	130260	4621	15876	5
2024.07.16	11:45:00	130255	130285	130235	130245	7417	26041	5
2024.07.16	11:46:00	130245	130250	130180	130190	14568	52535	5
2024.07.16	11:47:00	130190	130235	130170	130220	8565	30837	5
2024.07.16	11:48:00	130220	130245	130190	130195	5806	20798	5
2024.07.16	11:49:00	130200	130215	130180	130195	3510	13057	5
2024.07.16	11:50:00	130195	130215	130180	130215	4451	16028	5
2024.07.16	11:51:00	130215	130230	130190	130215	4401	17751	5
2024.07.16	11:52:00	130220	130255	130200	130225	6740	25219	5
2024.07.16	11:53:00	130225	130255	130215	130225	4590	19095	5
2024.07.16	11:54:00	130220	130230	130185	130220	6980	27206	5
2024.07.16	11:55:00	130215	130250	130205	130235	4466	16246	5
2024.07.16	11:56:00	130235	130250	130210	130250	4041	16104	5
2024.07.16	11:57:00	130245	130270	130195	130265	10222	48179	5
2024.07.16	11:58:00	130265	130330	130240	130315	13092	48196	5
2024.07.16	11:59:00	130310	130345	130300	130300	8040	33187	5
2024.07.16	12:00:00	130300	130370	130280	130355	12532	50635	5
2024.07.16	12:01:00	130355	130390	130335	130380	11405	46988	5
2024.07.16	12:02:00	130380	130415	130365	130385	12411	46045	5
2024.07.16	12:03:00	130380	130385	130335	130340	6424	24364	5
2024.07.16	12:04:00	130345	130370	130310	130370	8889	36129	5
2024.07.16	12:05:00	130365	130370	130320	130340	5546	21082	5
2024.07.16	12:06:00	130345	130350	130300	130325	5492	19885	5
2024.07.16	12:07:00	130320	130335	130275	130275	6858	25333	5
2024.07.16	12:08:00	130270	130290	130235	130240	10322	40622	5
2024.07.16	12:09:00	130240	130255	130160	130195	18491	72083	5
2024.07.16	12:10:00	130200	130235	130155	130235	11973	53585	5
2024.07.16	12:11:00	130235	130240	130195	130240	5980	23002	5
2024.07.16	12:12:00	130240	130285	130215	130280	9163	31853	5
2024.07.16	12:13:00	130285	130315	130280	130300	7639	30604	5
2024.07.16	12:14:00	130300	130310	130215	130235	9417	35650	5
2024.07.16	12:15:00	130230	130240	130180	130200	6954	26623	5
2024.07.16	12:16:00	130200	130200	130165	130170	5104	21195	5
2024.07.16	12:17:00	130175	130230	130165	130220	5649	20558	5
2024.07.16	12:18:00	130220	130250	130200	130235	7908	29800	5
2024.07.16	12:19:00	130235	130250	130215	130220	2751	8343	5
2024.07.16	12:20:00	130220	130280	130220	130270	6463	24816	5
2024.07.16	12:21:00	130270	130300	130260	130295	5277	20335	5
2024.07.16	12:22:00	130300	130305	130260	130260	4250	16153	5
2024.07.16	12:23:00	130260	130265	130225	130230	6431	23717	5
2024.07.16	12:24:00	130235	130240	130170	130190	11603	46778	5
2024.07.16	12:25:00	130185	130235	130170	130215	7585	30035	5
2024.07.16	12:26:00	130215	130260	130215	130245	4059	14462	5
2024.07.16	12:27:00	130250	130260	130215	130230	3540	11042	5
2024.07.16	12:28:00	130230	130255	130220	130250	3069	10329	5
2024.07.16	12:29:00	130250	130255	130195	130210	4257	16310	5
2024.07.16	12:30:00	130210	130215	130155	130170	8626	32158	5
2024.07.16	12:31:00	130170	130185	130105	130125	14008	50538	5
2024.07.16	12:32:00	130120	130145	130105	130140	4968	17302	5
2024.07.16	12:33:00	130145	130180	130135	130175	7315	23659	5
2024.07.16	12:34:00	130180	130210	130160	130165	6911	24225	5
2024.07.16	12:35:00	130170	130175	130115	130130	8825	31362	5
2024.07.16	12:36:00	130125	130160	130120	130135	4672	15923	5
2024.07.16	12:37:00	130135	130160	130115	130150	4167	15433	5
2024.07.16	12:38:00	130145	130170	130105	130130	7855	32907	5
2024.07.16	12:39:00	130130	130135	130055	130085	15332	59475	5
2024.07.16	12:40:00	130085	130100	130030	130065	13482	53347	5
2024.07.16	12:41:00	130065	130085	130045	130080	5722	20377	5
2024.07.16	12:42:00	130080	130135	130055	130135	10854	42659	5
2024.07.16	12:43:00	130135	130145	130115	130145	5773	21950	5
2024.07.16	12:44:00	130140	130170	130105	130115	9322	38753	5
2024.07.16	12:45:00	130120	130205	130115	130170	12600	48335	5
2024.07.16	12:46:00	130170	130175	130140	130155	7065	26453	5
2024.07.16	12:47:00	130160	130165	130100	130110	7497	26282	5
2024.07.16	12:48:00	130110	130155	130105	130135	4248	15316	5
2024.07.16	12:49:00	130135	130150	130120	130125	3140	10549	5
2024.07.16	12:50:00	130130	130135	130070	130085	8518	30428	5
2024.07.16	12:51:00	130085	130090	130035	130065	12157	48580	5
2024.07.16	12:52:00	130065	130070	129985	129995	15599	62657	5
2024.07.16	12:53:00	129990	130000	129920	129925	20131	89174	5
2024.07.16	12:54:00	129920	129960	129840	129875	20240	80540	5
2024.07.16	12:55:00	129880	129900	129845	129875	11959	45031	5
2024.07.16	12:56:00	129880	129960	129875	129935	15112	55874	5
2024.07.16	12:57:00	129930	129955	129910	129935	5102	18182	5
2024.07.16	12:58:00	129935	129975	129925	129940	6963	26958	5
2024.07.16	12:59:00	129935	129945	129870	129905	10191	38947	5
2024.07.16	13:00:00	129905	129965	129890	129960	10154	35440	5
2024.07.16	13:01:00	129960	130045	129955	130025	16152	62495	5
2024.07.16	13:02:00	130025	130045	129995	130045	10522	38000	5
2024.07.16	13:03:00	130045	130065	130020	130050	8748	35601	5
2024.07.16	13:04:00	130050	130060	129995	130015	7122	27027	5
2024.07.16	13:05:00	130020	130030	129950	130005	12654	52213	5
2024.07.16	13:06:00	130005	130065	129980	130030	10293	42226	5
2024.07.16	13:07:00	130025	130035	129985	129995	5159	19315	5
2024.07.16	13:08:00	129995	130030	129990	130010	2971	10442	5
2024.07.16	13:09:00	130015	130030	129985	130000	3224	12117	5
2024.07.16	13:10:00	130000	130090	130000	130055	9943	39707	5
2024.07.16	13:11:00	130050	130055	129970	129975	9328	36641	5
2024.07.16	13:12:00	129975	130020	129935	130000	12849	48838	5
2024.07.16	13:13:00	129995	130005	129935	130005	7674	28482	5
2024.07.16	13:14:00	130000	130050	129990	130040	6336	25391	5
2024.07.16	13:15:00	130040	130045	129980	130005	6390	26995	5
2024.07.16	13:16:00	130000	130005	129950	129990	6549	24111	5
2024.07.16	13:17:00	129990	130025	129975	130015	6615	21129	5
2024.07.16	13:18:00	130015	130040	129995	130005	5117	20881	5
2024.07.16	13:19:00	130010	130025	129995	130010	2781	8321	5
2024.07.16	13:20:00	130010	130025	129955	130020	6704	27187	5
2024.07.16	13:21:00	130020	130045	129995	130025	5773	22152	5
2024.07.16	13:22:00	130030	130045	129995	130015	3884	13835	5
2024.07.16	13:23:00	130015	130045	130005	130035	4191	14306	5
2024.07.16	13:24:00	130040	130040	129975	129985	4301	15670	5
2024.07.16	13:25:00	129980	130005	129975	129980	4559	18412	5
2024.07.16	13:26:00	129985	130000	129955	129960	4453	16876	5
2024.07.16	13:27:00	129955	129985	129935	129950	6337	24338	5
2024.07.16	13:28:00	129950	129960	129920	129935	4855	19340	5
2024.07.16	13:29:00	129935	129960	129930	129945	4637	18107	5
2024.07.16	13:30:00	129945	129980	129935	129965	5383	17429	5
2024.07.16	13:31:00	129965	129985	129950	129980	3570	11291	5
2024.07.16	13:32:00	129980	129985	129940	129945	3457	11784	5
2024.07.16	13:33:00	129940	129960	129920	129955	5131	19475	5
2024.07.16	13:34:00	129955	130040	129955	130025	9321	40530	5
2024.07.16	13:35:00	130025	130035	130005	130010	4257	16623	5
2024.07.16	13:36:00	130010	130015	129975	129985	5903	22740	5
2024.07.16	13:37:00	129985	130015	129970	129975	4502	15151	5
2024.07.16	13:38:00	129970	129995	129920	129930	6974	29564	5
2024.07.16	13:39:00	129930	129940	129860	129905	13248	56915	5
2024.07.16	13:40:00	129900	129910	129860	129865	5800	21925	5
2024.07.16	13:41:00	129865	129870	129730	129750	25664	107648	5
2024.07.16	13:42:00	129750	129810	129735	129780	9739	39027	5
2024.07.16	13:43:00	129780	129835	129765	129825	6583	23446	5
2024.07.16	13:44:00	129830	129850	129795	129850	7316	25255	5
2024.07.16	13:45:00	129850	129905	129840	129880	10845	43254	5
2024.07.16	13:46:00	129885	129945	129880	129915	9161	37359	5
2024.07.16	13:47:00	129915	129945	129895	129940	5993	24802	5
2024.07.16	13:48:00	129940	129960	129935	129955	5186	20270	5
2024.07.16	13:49:00	129955	130025	129945	130005	10249	41841	5
2024.07.16	13:50:00	130000	130030	129975	130000	7657	32504	5
2024.07.16	13:51:00	129995	130030	129990	130000	4595	16867	5
2024.07.16	13:52:00	130005	130005	129930	129935	7805	28438	5
2024.07.16	13:53:00	129940	129940	129895	129930	8922	37504	5
2024.07.16	13:54:00	129935	129940	129905	129940	3296	12425	5
2024.07.16	13:55:00	129935	129980	129930	129975	6276	23780	5
2024.07.16	13:56:00	129980	130020	129950	130000	8134	35940	5
2024.07.16	13:57:00	130005	130005	129945	129960	4824	17339	5
2024.07.16	13:58:00	129960	129970	129930	129950	4685	17491	5
2024.07.16	13:59:00	129950	129965	129930	129955	2336	7704	5
2024.07.16	14:00:00	129955	130050	129935	130005	15078	62037	5
2024.07.16	14:01:00	130000	130005	129950	129990	6168	27407	5
2024.07.16	14:02:00	129995	130015	129975	129990	3885	16411	5
2024.07.16	14:03:00	129990	129995	129970	129975	1744	5678	5
2024.07.16	14:04:00	129980	130015	129970	129985	4368	15485	5
2024.07.16	14:05:00	129985	129990	129935	129935	6151	22990	5
2024.07.16	14:06:00	129935	129945	129905	129930	7624	28814	5
2024.07.16	14:07:00	129930	130010	129930	129985	8766	32677	5
2024.07.16	14:08:00	129985	130010	129980	129990	3885	13181	5
2024.07.16	14:09:00	129995	130010	129955	129970	4629	14927	5
2024.07.16	14:10:00	129970	129980	129945	129950	3369	12766	5
2024.07.16	14:11:00	129955	129955	129915	129920	5000	20974	5
2024.07.16	14:12:00	129920	129925	129895	129905	4812	16140	5
2024.07.16	14:13:00	129910	129920	129875	129890	6976	26023	5
2024.07.16	14:14:00	129890	129930	129880	129925	5881	20929	5
2024.07.16	14:15:00	129925	129935	129870	129890	6992	26083	5
2024.07.16	14:16:00	129890	129930	129885	129915	3969	14000	5
2024.07.16	14:17:00	129920	129935	129905	129915	3549	13261	5
2024.07.16	14:18:00	129915	129945	129905	129925	3954	15477	5
2024.07.16	14:19:00	129925	129955	129910	129955	3417	12983	5
2024.07.16	14:20:00	129955	130010	129945	130005	10400	44005	5
2024.07.16	14:21:00	130010	130015	129960	129970	6247	26371	5
2024.07.16	14:22:00	129970	130005	129965	130005	3910	15593	5
2024.07.16	14:23:00	130005	130050	129995	130040	6860	33671	5
2024.07.16	14:24:00	130045	130065	130030	130035	7319	32143	5
2024.07.16	14:25:00	130035	130055	130015	130050	6395	25672	5
2024.07.16	14:26:00	130050	130070	130040	130055	4269	16202	5
2024.07.16	14:27:00	130060	130060	130030	130045	2498	9332	5
2024.07.16	14:28:00	130045	130065	130030	130040	3034	11550	5
2024.07.16	14:29:00	130040	130040	129995	130000	7527	28442	5
2024.07.16	14:30:00	129995	130050	129975	130045	10679	40743	5
2024.07.16	14:31:00	130045	130045	130005	130020	2926	10349	5
2024.07.16	14:32:00	130025	130085	130015	130050	8522	37976	5
2024.07.16	14:33:00	130050	130060	130030	130060	2263	8360	5
2024.07.16	14:34:00	130055	130080	130055	130070	3751	13602	5
2024.07.16	14:35:00	130070	130175	130070	130170	19296	80684	5
2024.07.16	14:36:00	130165	130190	130140	130155	10459	40352	5
2024.07.16	14:37:00	130155	130180	130140	130160	4996	17567	5
2024.07.16	14:38:00	130160	130195	130140	130175	6117	23761	5
2024.07.16	14:39:00	130180	130190	130160	130165	4442	14172	5
2024.07.16	14:40:00	130165	130190	130150	130155	5176	17927	5
2024.07.16	14:41:00	130150	130165	130110	130165	9826	44211	5
2024.07.16	14:42:00	130165	130230	130160	130200	11795	51889	5
2024.07.16	14:43:00	130205	130215	130175	130175	4805	21146	5
2024.07.16	14:44:00	130175	130195	130145	130175	6160	25841	5
2024.07.16	14:45:00	130175	130240	130165	130235	8270	34833	5
2024.07.16	14:46:00	130240	130265	130205	130215	9835	39408	5
2024.07.16	14:47:00	130215	130230	130195	130205	4160	16197	5
2024.07.16	14:48:00	130210	130225	130200	130200	2951	10880	5
2024.07.16	14:49:00	130200	130205	130165	130170	5246	21010	5
2024.07.16	14:50:00	130175	130230	130165	130210	6161	25729	5
2024.07.16	14:51:00	130210	130215	130180	130185	2998	9938	5
2024.07.16	14:52:00	130185	130200	130155	130190	5787	23430	5
2024.07.16	14:53:00	130195	130195	130155	130160	2296	9239	5
2024.07.16	14:54:00	130160	130165	130115	130120	8694	36209	5
2024.07.16	14:55:00	130120	130145	130085	130095	10697	48868	5
2024.07.16	14:56:00	130095	130185	130095	130160	10109	40230	5
2024.07.16	14:57:00	130155	130160	130110	130125	4135	17377	5
2024.07.16	14:58:00	130120	130140	130095	130135	5186	19715	5
2024.07.16	14:59:00	130140	130160	130120	130135	2616	10483	5
2024.07.16	15:00:00	130135	130135	130105	130130	3635	12590	5
2024.07.16	15:01:00	130130	130155	130110	130140	4777	16946	5
2024.07.16	15:02:00	130140	130165	130120	130130	3930	15363	5
2024.07.16	15:03:00	130130	130155	130110	130145	4161	15195	5
2024.07.16	15:04:00	130140	130155	130125	130125	2134	6656	5
2024.07.16	15:05:00	130130	130200	130125	130195	6818	25011	5
2024.07.16	15:06:00	130190	130210	130150	130170	6967	29234	5
2024.07.16	15:07:00	130170	130200	130165	130190	3173	11819	5
2024.07.16	15:08:00	130190	130265	130175	130260	10089	45279	5
2024.07.16	15:09:00	130255	130260	130230	130245	5348	21520	5
2024.07.16	15:10:00	130250	130260	130230	130240	3390	12360	5
2024.07.16	15:11:00	130245	130280	130225	130275	6600	29078	5
2024.07.16	15:12:00	130275	130280	130235	130275	6189	24594	5
2024.07.16	15:13:00	130275	130275	130225	130225	4910	19588	5
2024.07.16	15:14:00	130225	130280	130225	130260	5863	21019	5
2024.07.16	15:15:00	130260	130290	130230	130230	6710	26299	5
2024.07.16	15:16:00	130235	130255	130220	130255	5174	19570	5
2024.07.16	15:17:00	130255	130275	130225	130265	4022	15380	5
2024.07.16	15:18:00	130265	130270	130240	130250	2317	8201	5
2024.07.16	15:19:00	130250	130270	130240	130245	3090	13361	5
2024.07.16	15:20:00	130240	130260	130240	130250	2236	8947	5
2024.07.16	15:21:00	130255	130290	130250	130275	4515	18716	5
2024.07.16	15:22:00	130280	130280	130240	130260	4266	15131	5
2024.07.16	15:23:00	130255	130285	130240	130275	3075	11826	5
2024.07.16	15:24:00	130275	130365	130270	130345	17816	79733	5
2024.07.16	15:25:00	130345	130370	130300	130325	10015	40528	5
2024.07.16	15:26:00	130320	130370	130305	130345	6179	25847	5
2024.07.16	15:27:00	130350	130380	130330	130340	7211	32766	5
2024.07.16	15:28:00	130340	130355	130320	130340	4357	16032	5
2024.07.16	15:29:00	130340	130345	130310	130330	4411	16709	5
2024.07.16	15:30:00	130330	130335	130300	130315	5169	18236	5
2024.07.16	15:31:00	130310	130320	130300	130315	3389	12903	5
2024.07.16	15:32:00	130310	130340	130310	130310	3603	13833	5
2024.07.16	15:33:00	130310	130325	130290	130305	3712	15734	5
2024.07.16	15:34:00	130300	130305	130260	130285	6755	28969	5
2024.07.16	15:35:00	130285	130305	130270	130275	3552	24838	5
2024.07.16	15:36:00	130275	130290	130255	130255	4467	16235	5
2024.07.16	15:37:00	130255	130270	130250	130265	3101	12921	5
2024.07.16	15:38:00	130260	130285	130250	130255	2831	11055	5
2024.07.16	15:39:00	130255	130270	130220	130245	7316	31997	5
2024.07.16	15:40:00	130245	130260	130225	130235	3186	12249	5
2024.07.16	15:41:00	130235	130235	130195	130215	7848	30182	5
2024.07.16	15:42:00	130215	130220	130185	130190	4655	18159	5
2024.07.16	15:43:00	130185	130195	130155	130175	7644	31394	5
2024.07.16	15:44:00	130175	130195	130165	130180	3629	14687	5
2024.07.16	15:45:00	130180	130180	130120	130130	8342	35222	5
2024.07.16	15:46:00	130130	130140	130105	130125	6158	24135	5
2024.07.16	15:47:00	130130	130130	130095	130095	3935	14845	5
2024.07.16	15:48:00	130095	130105	130055	130065	9484	39861	5
2024.07.16	15:49:00	130060	130085	130035	130045	7246	30391	5
2024.07.16	15:50:00	130045	130075	130030	130070	6749	28242	5
2024.07.16	15:51:00	130065	130080	130045	130070	4435	17919	5
2024.07.16	15:52:00	130070	130075	130040	130040	3653	15904	5
2024.07.16	15:53:00	130040	130060	130005	130015	6075	24146	5
2024.07.16	15:54:00	130015	130025	129995	130005	5758	26408	5
2024.07.16	15:55:00	130000	130045	129985	130020	8113	32561	5
2024.07.16	15:56:00	130015	130030	129990	130025	3584	15276	5
2024.07.16	15:57:00	130025	130030	130005	130020	2808	9621	5
2024.07.16	15:58:00	130020	130070	130005	130045	6461	25282	5
2024.07.16	15:59:00	130045	130065	130040	130050	3511	15391	5
2024.07.16	16:00:00	130045	130060	130035	130050	2869	10748	5
2024.07.16	16:01:00	130055	130110	130050	130080	10536	42564	5
2024.07.16	16:02:00	130080	130115	130070	130075	4655	20602	5
2024.07.16	16:03:00	130080	130080	130015	130025	9011	36424	5
2024.07.16	16:04:00	130025	130055	130020	130035	2816	11964	5
2024.07.16	16:05:00	130040	130040	130000	130025	5351	23269	5
2024.07.16	16:06:00	130025	130060	130005	130050	4756	18627	5
2024.07.16	16:07:00	130050	130080	130045	130060	4312	18859	5
2024.07.16	16:08:00	130055	130060	130035	130045	2310	9569	5
